transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference,date,year,month,day,hour,day_of_week,is_weekend
2026-04-15 22:00:00,subway,398,77 St (6),Manhattan,omny,OMNY - Students,14.0,0.0,40.77362,-73.95988,POINT (-73.95988 40.77362),2026-04-15,2026,4,15,22,Wednesday,False
2026-04-08 15:00:00,subway,477,72 St (Q),Manhattan,omny,OMNY - Other,7.0,0.0,40.7688,-73.95843,POINT (-73.95843 40.7688),2026-04-08,2026,4,8,15,Wednesday,False
2026-04-07 19:00:00,subway,397,"86 St (4,5,6)",Manhattan,omny,OMNY - Students,116.0,3.0,40.77949,-73.95559,POINT (-73.95559 40.77949),2026-04-07,2026,4,7,19,Tuesday,False
2026-04-01 16:00:00,subway,119,1 Av (L),Manhattan,omny,OMNY - Seniors & Disability,83.0,6.0,40.730953,-73.98163,POINT (-73.98163 40.730953),2026-04-01,2026,4,1,16,Wednesday,False
2026-04-21 19:00:00,subway,234,East Broadway (F),Manhattan,omny,OMNY - Full Fare,589.0,7.0,40.713715,-73.99017,POINT (-73.99017 40.713715),2026-04-21,2026,4,21,19,Tuesday,False
2026-04-13 17:00:00,subway,147,175 St (A),Manhattan,omny,OMNY - Fair Fare,27.0,1.0,40.84739,-73.939705,POINT (-73.939705 40.84739),2026-04-13,2026,4,13,17,Monday,False
2026-04-11 13:00:00,subway,152,"135 St (C,B)",Manhattan,omny,OMNY - Students,14.0,0.0,40.817894,-73.94765,POINT (-73.94765 40.817894),2026-04-11,2026,4,11,13,Saturday,True
2026-04-18 08:00:00,subway,277,"7 Av (E,B,D)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.762863,-73.981636,POINT (-73.981636 40.762863),2026-04-18,2026,4,18,8,Saturday,True
2026-04-21 12:00:00,subway,409,Spring St (6),Manhattan,omny,OMNY - Fair Fare,12.0,1.0,40.7223,-73.99714,POINT (-73.99714 40.7223),2026-04-21,2026,4,21,12,Tuesday,False
2026-04-16 07:00:00,subway,404,28 St (6),Manhattan,omny,OMNY - Full Fare,552.0,5.0,40.74307,-73.98426,POINT (-73.98426 40.74307),2026-04-16,2026,4,16,7,Thursday,False
2026-04-01 23:00:00,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,omny,OMNY - Other,45.0,1.0,40.75229,-73.99339,POINT (-73.99339 40.75229),2026-04-01,2026,4,1,23,Wednesday,False
2026-04-02 20:00:00,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,omny,OMNY - Full Fare,,6.0,40.732338,-74.000496,POINT (-74.000496 40.732338),2026-04-02,2026,4,2,20,Thursday,False
2026-04-16 13:00:00,subway,306,125 St (1),Manhattan,omny,OMNY - Seniors & Disability,24.0,0.0,40.815582,-73.958374,POINT (-73.958374 40.815582),2026-04-16,2026,4,16,13,Thursday,False
2026-04-08 23:00:00,subway,395,103 St (6),Manhattan,omny,OMNY - Seniors & Disability,2.0,0.0,40.7906,-73.94748,POINT (-73.94748 40.7906),2026-04-08,2026,4,8,23,Wednesday,False
2026-04-02 22:00:00,subway,319,28 St (1),Manhattan,omny,OMNY - Other,4.0,0.0,40.747215,-73.99336,POINT (-73.99336 40.747215),2026-04-02,2026,4,2,22,Thursday,False
2026-04-09 22:00:00,subway,118,3 Av (L),Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.73285,-73.98612,POINT (-73.98612 40.73285),2026-04-09,2026,4,9,22,Thursday,False
2026-04-04 14:00:00,subway,13,"28 St (R,W)",Manhattan,omny,OMNY - Full Fare,532.0,2.0,40.745495,-73.98869,POINT (-73.98869 40.745495),2026-04-04,2026,4,4,14,Saturday,True
2026-04-06 03:00:00,subway,223,"Lexington Av/63 St (M,Q)",Manhattan,omny,OMNY - Other,2.0,0.0,40.76463,-73.96611,POINT (-73.96611 40.76463),2026-04-06,2026,4,6,3,Monday,False
2026-04-05 06:00:00,subway,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,omny,OMNY - Full Fare,655.0,1.0,40.755745,-73.98758,POINT (-73.98758 40.755745),2026-04-05,2026,4,5,6,Sunday,True
2026-04-03 20:00:00,subway,158,"86 St (C,B)",Manhattan,omny,OMNY - Seniors & Disability,17.0,3.0,40.78587,-73.96892,POINT (-73.96892 40.78587),2026-04-03,2026,4,3,20,Friday,False
2026-04-21 10:00:00,subway,22,"Rector St (R,W)",Manhattan,omny,OMNY - Full Fare,188.0,42.0,40.70722,-74.01334,POINT (-74.01334 40.70722),2026-04-21,2026,4,21,10,Tuesday,False
2026-04-18 23:00:00,subway,320,23 St (1),Manhattan,omny,OMNY - Full Fare,295.0,5.0,40.74408,-73.99566,POINT (-73.99566 40.74408),2026-04-18,2026,4,18,23,Saturday,True
2026-04-06 18:00:00,subway,403,33 St (6),Manhattan,omny,OMNY - Seniors & Disability,71.0,3.0,40.746082,-73.98208,POINT (-73.98208 40.746082),2026-04-06,2026,4,6,18,Monday,False
2026-04-03 17:00:00,subway,303,157 St (1),Manhattan,omny,OMNY - Seniors & Disability,35.0,3.0,40.83404,-73.94489,POINT (-73.94489 40.83404),2026-04-03,2026,4,3,17,Friday,False
2026-04-20 18:00:00,subway,471,34 St-Hudson Yards (7),Manhattan,omny,OMNY - Students,28.0,1.0,40.755882,-74.00191,POINT (-74.00191 40.755882),2026-04-20,2026,4,20,18,Monday,False
2026-04-08 05:00:00,subway,476,86 St (Q),Manhattan,omny,OMNY - Full Fare,62.0,0.0,40.77789,-73.95179,POINT (-73.95179 40.77789),2026-04-08,2026,4,8,5,Wednesday,False
2026-04-19 16:00:00,subway,17,"Prince St (R,W)",Manhattan,omny,OMNY - Students,5.0,0.0,40.72433,-73.9977,POINT (-73.9977 40.72433),2026-04-19,2026,4,19,16,Sunday,True
2026-04-19 02:00:00,subway,323,Christopher St-Stonewall (1),Manhattan,omny,OMNY - Seniors & Disability,2.0,0.0,40.73342,-74.00291,POINT (-74.00291 40.73342),2026-04-19,2026,4,19,2,Sunday,True
2026-04-06 20:00:00,subway,628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,omny,OMNY - Seniors & Disability,70.0,1.0,40.71009,-74.007835,POINT (-74.007835 40.71009),2026-04-06,2026,4,6,20,Monday,False
2026-04-21 15:00:00,subway,301,181 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,4.0,0.0,40.849506,-73.93359,POINT (-73.93359 40.849506),2026-04-21,2026,4,21,15,Tuesday,False
2026-04-05 17:00:00,subway,602,"14 St-Union Sq (4,5,6,L,N,Q,R,W)",Manhattan,metrocard,Metrocard - Other,8.0,0.0,40.735065,-73.99042,POINT (-73.99042 40.735065),2026-04-05,2026,4,5,17,Sunday,True
2026-04-08 12:00:00,subway,305,137 St-City College (1),Manhattan,omny,OMNY - Seniors & Disability,34.0,0.0,40.822006,-73.953674,POINT (-73.953674 40.822006),2026-04-08,2026,4,8,12,Wednesday,False
2026-04-19 14:00:00,subway,151,"145 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.824783,-73.944214,POINT (-73.944214 40.824783),2026-04-19,2026,4,19,14,Sunday,True
2026-04-06 04:00:00,subway,14,"23 St (R,W)",Manhattan,omny,OMNY - Fair Fare,1.0,0.0,40.741302,-73.98934,POINT (-73.98934 40.741302),2026-04-06,2026,4,6,4,Monday,False
